Fx Fz M_max M_min
10.8 -6 -0.130779 -0.659499
10.9 -6 -0.135167 -0.662726
11 -6 -0.139555 -0.665953
11.1 -6 -0.143943 -0.66918
11.2 -6 -0.148331 -0.672408
11.3 -6 -0.152719 -0.675635
11.4 -6 -0.157106 -0.678862
11.5 -6 -0.161494 -0.682089
11.6 -6 -0.165882 -0.685316
11.7 -6 -0.17027 -0.688544
11.8 -6 -0.174658 -0.691771
11.9 -6 -0.179046 -0.694998
12 -6 -0.183434 -0.698225
12.1 -6 -0.187821 -0.701452
12.2 -6 -0.192209 -0.70468
12.3 -6 -0.196597 -0.707907
12.4 -6 -0.200985 -0.711134
12.5 -6 -0.205373 -0.714361
12.6 -6 -0.685915 -1.19313
12.7 -6 -0.214149 -0.708973
12.8 -6 -0.218536 -0.700973
12.9 -6 -0.222924 -0.692972
13 -6 -0.227312 -0.684972
13.1 -6 -0.2317 -0.676972
13.2 -6 -0.236088 -0.668972
13.3 -6 -0.240476 -0.660971
13.4 -6 -0.244864 -0.652971
13.5 -6 -0.249251 -0.644971
13.6 -6 -0.253639 -0.636971
13.7 -6 -0.258027 -0.628971
13.8 -6 -0.262415 -0.62097
13.9 -6 -0.266803 -0.61297
14 -6 -0.271191 -0.60497
14.1 -6 -0.275579 -0.59697
14.2 -6 -0.279966 -0.58897
14.3 -6 -0.284354 -0.580969
14.4 -6 -0.288742 -0.572969
14.5 -6 -0.29313 -0.564969
14.6 -6 -0.297518 -0.556969
14.7 -6 -0.301906 -0.548968
14.8 -6 -0.306294 -0.540968
14.9 -6 -0.310681 -0.532968
15 -6 -0.315069 -0.524968
15.1 -6 -0.319457 -0.516968
15.2 -6 -0.323845 -0.508967
15.3 -6 -0.328233 -0.500967
15.4 -6 -0.332621 -0.492967
15.5 -6 -0.337009 -0.484967
15.6 -6 -0.341396 -0.476967
15.7 -6 -0.345784 -0.468966
15.8 -6 -0.350172 -0.460966
15.9 -6 -0.35456 -0.452966
16 -6 -0.358948 -0.444966
16.1 -6 -0.363336 -0.436965
16.2 -6 -0.367724 -0.428965
16.3 -6 -0.372111 -0.420965
16.4 -6 -0.376499 -0.412965
16.5 -6 -0.380887 -0.404965
16.6 -6 -0.385275 -0.396964
16.7 -6 -0.388964 -0.389663
16.8 -6 0 0
16.9 -6 0 0
17 -6 0 0
17.1 -6 0 0
17.2 -6 0 0
17.3 -6 0 0
17.4 -6 0 0
17.5 -6 0 0
17.6 -6 0 0
17.7 -6 0 0
17.8 -6 0 0
17.9 -6 0 0
18 -6 0 0
18.1 -6 0 0
18.2 -6 0 0
18.3 -6 0 0
18.4 -6 0 0
18.5 -6 0 0
18.6 -6 0 0
18.7 -6 0 0
18.8 -6 0 0
18.9 -6 0 0
19 -6 0 0
19.1 -6 0 0
19.2 -6 0 0
19.3 -6 0 0
19.4 -6 0 0
19.5 -6 0 0
19.6 -6 0 0
19.7 -6 0 0
